clients,duration,failed_transactions,initial_connection_time,jobs,latency_avg,num_clients,num_threads,run_number,scaling_factor,test_type,threshold,tps,transaction_type,transactions_processed,version
1000,3,0,480.507,2,10861.566,1000,2,7,1,listen_notify_common,,92.067752,listen_notify_common.sql,1658,master
32,3,0,7.48,32,0.226,32,32,3,1,listen_unlisten_common,,141592.384169,listen_unlisten_common.sql,425322,master
1000,3,0,459.482,2,14.804,1000,2,5,1,listen_unlisten_common,1,67550.370346,listen_unlisten_common.sql,185836,optimize_listen_notify_v4
1000,3,0,233.896,16,10067.069,1000,16,1,1,listen_notify_common,,99.333781,listen_notify_common.sql,1717,master
1000,3,0,847.55,1,6.94,1000,1,5,1,listen_unlisten_common,16,144095.172301,listen_unlisten_common.sql,314122,optimize_listen_notify_v4
8,3,0,2.324,8,0.055,8,8,3,1,listen_unlisten_unique,16,144150.63309,listen_unlisten_unique.sql,432288,optimize_listen_notify_v4
8,3,0,2.57,8,0.026,8,8,0,1,listen_common,,303431.002076,listen_common.sql,912583,master
4,3,0,1.895,4,0.033,4,4,9,1,listen_unlisten_unique,,120653.495304,listen_unlisten_unique.sql,362949,master
1000,3,0,232.896,8,2.397,1000,8,8,1,listen_common,1,417236.028635,listen_common.sql,1196562,optimize_listen_notify_v4
8,3,0,2.614,8,0.133,8,8,3,1,listen_notify_common,1,59936.482486,listen_notify_common.sql,180628,optimize_listen_notify_v4
1000,3,0,856.279,1,333.371,1000,1,5,1,listen_notify_unique,1,2999.663538,listen_notify_unique.sql,7159,optimize_listen_notify_v4
1000,3,0,455.061,2,355.397,1000,2,5,1,listen_notify_unique,16,2813.757556,listen_notify_unique.sql,7992,optimize_listen_notify_v4
1000,3,0,265.444,4,348.623,1000,4,2,1,listen_notify_unique,1,2868.429248,listen_notify_unique.sql,8575,optimize_listen_notify_v4
16,3,0,4.027,16,0.394,16,16,2,1,listen_notify_common,,40654.194613,listen_notify_common.sql,122677,master
1000,3,0,271.736,4,9951.474,1000,4,1,1,listen_notify_unique,,100.487631,listen_notify_unique.sql,1624,master
16,3,0,4.279,16,0.056,16,16,3,1,listen_common,8,284785.760879,listen_common.sql,853962,optimize_listen_notify_v4
4,3,0,1.927,4,0.034,4,4,0,1,listen_unlisten_common,16,119211.585539,listen_unlisten_common.sql,358608,optimize_listen_notify_v4
4,3,0,1.838,4,0.029,4,4,0,1,listen_notify_unique,1,140124.624628,listen_notify_unique.sql,421730,optimize_listen_notify_v4
1,3,0,1.212,1,0.016,1,1,3,1,listen_notify_common,8,63388.148815,listen_notify_common.sql,190369,optimize_listen_notify_v4
2,3,0,1.203,2,0.011,2,2,4,1,listen_unique,,177753.929794,listen_unique.sql,534839,master
1000,3,0,226.36,8,1.868,1000,8,7,1,listen_unique,,535332.193009,listen_unique.sql,1512587,master
2,3,0,1.146,2,0.018,2,2,3,1,listen_notify_unique,8,108612.075536,listen_notify_unique.sql,327063,optimize_listen_notify_v4
1000,3,0,251.453,4,16.603,1000,4,2,1,listen_unlisten_common,16,60231.77557,listen_unlisten_common.sql,179046,optimize_listen_notify_v4
1000,3,0,223.212,16,1.923,1000,16,6,1,listen_unique,1,519932.472649,listen_unique.sql,1515586,optimize_listen_notify_v4
1000,3,0,222.122,32,1.847,1000,32,4,1,listen_unique,8,541398.164687,listen_unique.sql,1588224,optimize_listen_notify_v4
1000,3,0,472.455,2,2.595,1000,2,2,1,listen_unique,8,385325.229398,listen_unique.sql,999267,optimize_listen_notify_v4
1000,3,0,245.254,8,18.16,1000,8,0,1,listen_unlisten_unique,16,55065.461697,listen_unlisten_unique.sql,163985,optimize_listen_notify_v4
1000,3,0,245.288,8,8187.576,1000,8,0,1,listen_notify_common,1,122.136273,listen_notify_common.sql,1891,optimize_listen_notify_v4
1000,3,0,240.216,8,18.755,1000,8,9,1,listen_unlisten_unique,,53320.240925,listen_unlisten_unique.sql,158886,master
1,3,0,1.314,1,0.01,1,1,4,1,listen_common,16,104448.099741,listen_common.sql,314192,optimize_listen_notify_v4
16,3,0,4.082,16,0.117,16,16,4,1,listen_unlisten_unique,1,137262.267216,listen_unlisten_unique.sql,412560,optimize_listen_notify_v4
1000,3,0,229.422,32,9693.821,1000,32,2,1,listen_notify_common,,103.158492,listen_notify_common.sql,1658,master
32,3,0,7.182,32,1.223,32,32,5,1,listen_notify_common,1,26158.998626,listen_notify_common.sql,78990,optimize_listen_notify_v4
2,3,0,1.159,2,0.011,2,2,4,1,listen_unique,16,176987.978328,listen_unique.sql,532274,optimize_listen_notify_v4
1000,3,0,241.775,32,338.475,1000,32,3,1,listen_notify_unique,16,2954.430668,listen_notify_unique.sql,8909,optimize_listen_notify_v4
1000,3,0,246.52,16,19.347,1000,16,1,1,listen_unlisten_common,8,51687.287821,listen_unlisten_common.sql,153637,optimize_listen_notify_v4
4,3,0,1.825,4,0.016,4,4,8,1,listen_unique,1,244060.686244,listen_unique.sql,734198,optimize_listen_notify_v4
1000,3,0,229.357,32,18.821,1000,32,3,1,listen_unlisten_common,1,53132.980097,listen_unlisten_common.sql,158881,optimize_listen_notify_v4
1,3,0,1.24,1,0.019,1,1,0,1,listen_unlisten_unique,,52717.276478,listen_unlisten_unique.sql,158192,master
32,3,0,6.899,32,0.225,32,32,5,1,listen_unlisten_unique,16,142291.116549,listen_unlisten_unique.sql,426243,optimize_listen_notify_v4
16,3,0,4.071,16,0.405,16,16,4,1,listen_notify_common,16,39489.249182,listen_notify_common.sql,119175,optimize_listen_notify_v4
4,3,0,1.764,4,0.017,4,4,7,1,listen_unique,,241211.353798,listen_unique.sql,725406,master
1000,3,0,250.261,4,17.086,1000,4,0,1,listen_unlisten_common,1,58528.166866,listen_unlisten_common.sql,173096,optimize_listen_notify_v4
1000,3,0,239.236,32,10394.668,1000,32,3,1,listen_notify_unique,,96.203173,listen_notify_unique.sql,1585,master
1000,3,0,232.327,16,1.751,1000,16,4,1,listen_unique,16,571115.588897,listen_unique.sql,1626897,optimize_listen_notify_v4
32,3,0,7.716,32,0.112,32,32,0,1,listen_common,8,286186.413723,listen_common.sql,859279,optimize_listen_notify_v4
4,3,0,1.786,4,0.028,4,4,2,1,listen_notify_unique,16,140636.506227,listen_notify_unique.sql,423209,optimize_listen_notify_v4
4,3,0,1.897,4,0.033,4,4,2,1,listen_unlisten_common,1,119920.641412,listen_unlisten_common.sql,360675,optimize_listen_notify_v4
1000,3,0,230.154,32,1.831,1000,32,9,1,listen_unique,1,546205.032364,listen_unique.sql,1625841,optimize_listen_notify_v4
1,3,0,0.977,1,0.02,1,1,1,1,listen_unlisten_unique,8,50022.301835,listen_unlisten_unique.sql,150391,optimize_listen_notify_v4
1,3,0,1.03,1,0.019,1,1,1,1,listen_unlisten_common,,53148.479875,listen_unlisten_common.sql,159476,master
2,3,0,1.185,2,0.024,2,2,1,1,listen_unlisten_common,8,83202.658764,listen_unlisten_common.sql,249699,optimize_listen_notify_v4
4,3,0,1.707,4,0.017,4,4,6,1,listen_common,,240899.961907,listen_common.sql,724722,master
1000,3,0,275.473,4,345.015,1000,4,0,1,listen_notify_unique,16,2898.425231,listen_notify_unique.sql,8636,optimize_listen_notify_v4
1000,3,0,928.435,1,326.381,1000,1,7,1,listen_notify_unique,16,3063.905665,listen_notify_unique.sql,7148,optimize_listen_notify_v4
1000,3,0,465.821,2,349.922,1000,2,7,1,listen_notify_unique,1,2857.781359,listen_notify_unique.sql,8018,optimize_listen_notify_v4
1000,3,0,463.605,2,14.447,1000,2,8,1,listen_unlisten_common,8,69219.996236,listen_unlisten_common.sql,191277,optimize_listen_notify_v4
8,3,0,2.656,8,0.134,8,8,1,1,listen_notify_common,16,59846.184082,listen_notify_common.sql,180267,optimize_listen_notify_v4
1000,3,0,869.383,1,346.98,1000,1,8,1,listen_notify_unique,8,2882.00766,listen_notify_unique.sql,6867,optimize_listen_notify_v4
8,3,0,2.585,8,0.056,8,8,1,1,listen_unlisten_unique,1,142908.058795,listen_unlisten_unique.sql,429432,optimize_listen_notify_v4
1000,3,0,233.771,8,18.472,1000,8,8,1,listen_unlisten_common,,54137.349362,listen_unlisten_common.sql,161239,master
1000,3,0,466.585,2,13.495,1000,2,7,1,listen_unlisten_common,16,74103.675235,listen_unlisten_common.sql,205001,optimize_listen_notify_v4
1000,3,0,859.27,1,7.294,1000,1,7,1,listen_unlisten_common,1,137098.218105,listen_unlisten_common.sql,310882,optimize_listen_notify_v4
1000,3,0,242.484,8,2.014,1000,8,5,1,listen_common,8,496486.972985,listen_common.sql,1437017,optimize_listen_notify_v4
16,3,0,4.224,16,0.404,16,16,6,1,listen_notify_common,1,39614.166411,listen_notify_common.sql,119518,optimize_listen_notify_v4
32,3,0,7.52,32,1.247,32,32,8,1,listen_notify_common,8,25666.499924,listen_notify_common.sql,77426,optimize_listen_notify_v4
16,3,0,4.161,16,0.388,16,16,3,1,listen_notify_unique,,41289.445338,listen_notify_unique.sql,124197,master
1000,3,0,257.18,4,10263.138,1000,4,0,1,listen_notify_common,,97.436083,listen_notify_common.sql,1735,master
32,3,0,7.702,32,0.232,32,32,7,1,listen_unlisten_unique,1,138078.064478,listen_unlisten_unique.sql,415866,optimize_listen_notify_v4
1000,3,0,259.672,4,2.224,1000,4,7,1,listen_unique,8,449586.427263,listen_unique.sql,1286015,optimize_listen_notify_v4
1000,3,0,256.063,32,18.731,1000,32,1,1,listen_unlisten_common,16,53387.200426,listen_unlisten_common.sql,157676,optimize_listen_notify_v4
