connections,min_ms,avg_ms,max_ms,stddev_ms
3,0.32,4.94,90.74,19.69
4,0.39,0.63,0.93,0.12
5,0.35,0.46,0.59,0.07
6,0.22,0.27,0.52,0.06
7,0.24,0.28,0.33,0.02
8,0.27,0.30,0.38,0.03
9,0.24,0.27,0.33,0.02
10,0.25,0.27,0.28,0.01
11,0.24,0.27,0.31,0.02
12,0.22,0.25,0.28,0.01
13,0.16,0.21,0.29,0.04
14,0.15,0.20,0.29,0.03
15,0.15,0.19,0.22,0.01
16,0.15,0.19,0.23,0.02
17,0.16,0.18,0.21,0.01
18,0.16,0.18,0.21,0.01
19,0.15,0.18,0.23,0.02
20,0.15,0.19,0.22,0.02
21,0.16,0.19,0.22,0.02
22,0.16,0.19,0.22,0.02
23,0.16,0.20,0.24,0.02
24,0.15,0.20,0.25,0.03
25,0.15,0.19,0.23,0.02
26,0.16,0.20,0.22,0.02
27,0.16,0.20,0.23,0.02
28,0.17,0.20,0.23,0.02
29,0.17,0.20,0.24,0.02
30,0.18,0.22,0.24,0.01
31,0.20,0.22,0.26,0.02
32,0.16,0.21,0.25,0.02
33,0.19,0.22,0.26,0.02
34,0.19,0.21,0.24,0.02
35,0.19,0.22,0.27,0.02
36,0.18,0.22,0.27,0.03
37,0.20,0.23,0.27,0.02
38,0.17,0.22,0.27,0.03
39,0.13,0.18,0.24,0.02
40,0.16,0.19,0.23,0.02
41,0.20,0.24,0.29,0.02
42,0.20,0.23,0.30,0.03
43,0.23,0.26,0.29,0.02
44,0.23,0.26,0.29,0.02
45,0.22,0.26,0.29,0.02
46,0.24,0.27,0.32,0.02
47,0.22,0.27,0.31,0.02
48,0.22,0.28,0.33,0.03
49,0.21,0.26,0.31,0.03
50,0.22,0.27,0.32,0.03
51,0.24,0.29,0.33,0.02
52,0.24,0.29,0.35,0.03
53,0.25,0.30,0.35,0.03
54,0.24,0.30,0.34,0.03
55,0.26,0.30,0.36,0.02
56,0.24,0.28,0.37,0.03
57,0.26,0.31,0.36,0.03
58,0.27,0.31,0.37,0.03
59,0.28,0.31,0.35,0.02
60,0.29,0.32,0.37,0.02
61,0.29,0.33,0.40,0.03
62,0.28,0.50,2.04,0.47
63,0.29,0.33,0.40,0.03
64,0.30,0.34,0.42,0.03
65,0.29,0.33,0.39,0.03
66,0.29,0.33,0.39,0.03
67,0.31,0.35,0.43,0.03
68,0.29,0.37,0.41,0.04
69,0.31,0.37,0.43,0.03
70,0.29,0.36,0.41,0.03
71,0.33,0.36,0.42,0.03
72,0.33,0.37,0.43,0.03
73,0.33,0.39,0.45,0.04
74,0.32,0.36,0.43,0.03
75,0.32,0.38,0.45,0.03
76,0.34,0.38,0.45,0.03
77,0.32,0.39,0.46,0.03
78,0.36,0.40,0.47,0.03
79,0.34,0.39,0.45,0.03
80,0.35,0.42,0.50,0.04
81,0.36,0.41,0.48,0.03
82,0.39,0.42,0.46,0.02
83,0.42,0.44,0.47,0.01
84,0.37,0.44,0.49,0.03
85,0.37,0.43,0.52,0.04
86,0.37,0.44,0.53,0.04
87,0.37,0.43,0.50,0.03
88,0.37,0.45,0.52,0.04
89,0.40,0.43,0.50,0.03
90,0.39,0.45,0.52,0.03
91,0.40,0.45,0.50,0.03
92,0.39,0.46,0.51,0.03
93,0.40,0.47,0.54,0.04
94,0.42,0.46,0.53,0.04
95,0.42,0.48,0.53,0.04
96,0.41,0.48,0.56,0.04
97,0.41,0.48,0.54,0.03
98,0.43,0.48,0.57,0.04
99,0.44,0.50,0.57,0.03
100,0.43,0.49,0.56,0.03
101,0.45,0.49,0.55,0.03
102,0.45,0.50,0.57,0.03
103,0.44,0.51,0.58,0.04
104,0.45,0.52,0.59,0.04
105,0.45,0.50,0.56,0.03
106,0.46,0.51,0.56,0.03
107,0.47,0.52,0.58,0.04
108,0.47,0.53,0.61,0.04
109,0.49,0.54,0.60,0.03
110,0.48,0.54,0.61,0.03
111,0.47,0.54,0.61,0.04
112,0.51,0.55,0.62,0.04
113,0.50,0.54,0.61,0.03
114,0.51,0.55,0.61,0.03
115,0.51,0.56,0.63,0.03
116,0.49,0.57,0.63,0.04
117,0.47,0.56,0.64,0.04
118,0.51,0.57,0.63,0.03
119,0.51,0.57,0.63,0.04
120,0.52,0.58,0.67,0.04
121,0.56,0.60,0.65,0.03
122,0.56,0.60,0.65,0.02
123,0.54,0.60,0.65,0.03
124,0.54,0.61,0.72,0.05
125,0.55,0.60,0.69,0.04
126,0.56,0.61,0.70,0.04
127,0.55,0.61,0.70,0.04
128,0.56,0.62,0.70,0.04
129,0.55,0.61,0.71,0.04
130,0.58,0.64,0.72,0.04
131,0.57,0.63,0.69,0.04
132,0.58,0.65,0.73,0.04
133,0.57,0.64,0.72,0.04
134,0.58,0.66,0.73,0.05
135,0.60,0.65,0.73,0.03
136,0.61,0.65,0.73,0.03
137,0.59,0.64,0.71,0.03
138,0.60,0.65,0.72,0.03
139,0.61,0.67,0.75,0.04
140,0.60,0.66,0.73,0.04
141,0.61,0.67,0.75,0.04
142,0.64,0.69,0.75,0.03
143,0.64,0.71,0.76,0.04
144,0.62,0.71,0.79,0.04
145,0.61,0.68,0.76,0.04
146,0.63,0.69,0.75,0.03
147,0.65,0.71,0.80,0.04
148,0.65,0.71,0.78,0.04
149,0.63,0.70,0.77,0.03
150,0.64,0.72,0.81,0.05
151,0.65,0.70,0.80,0.04
152,0.67,0.72,0.78,0.03
153,0.65,0.73,0.82,0.05
154,0.66,0.73,0.84,0.04
155,0.64,0.72,0.81,0.04
156,0.67,0.74,0.85,0.05
157,0.66,0.74,0.81,0.04
158,0.69,0.75,0.81,0.04
159,0.71,0.75,0.83,0.03
160,0.70,0.76,0.83,0.03
161,0.71,0.78,0.85,0.03
162,0.71,0.76,0.88,0.04
163,0.70,0.78,0.87,0.05
164,0.71,0.77,0.85,0.05
165,0.70,0.78,0.87,0.05
166,0.74,0.79,0.87,0.04
167,0.70,0.78,0.86,0.04
168,0.72,0.80,0.88,0.04
169,0.74,0.81,0.92,0.04
170,0.72,0.80,0.87,0.04
171,0.74,0.79,0.90,0.04
172,0.75,0.82,0.90,0.04
173,0.76,0.81,0.89,0.03
174,0.75,0.82,0.94,0.05
175,0.77,0.82,0.91,0.04
176,0.77,0.83,0.93,0.04
177,0.79,0.85,0.91,0.03
178,0.76,0.84,0.94,0.04
179,0.78,0.85,0.93,0.04
180,0.80,0.87,0.95,0.05
181,0.76,0.84,0.97,0.05
182,0.79,0.84,0.93,0.04
183,0.79,0.86,0.98,0.06
184,0.80,0.87,0.97,0.05
185,0.83,0.88,0.99,0.04
186,0.81,0.88,1.00,0.05
187,0.80,0.87,1.01,0.06
188,0.80,0.88,0.99,0.05
189,0.80,0.87,0.99,0.04
190,0.82,0.86,0.93,0.03
191,0.82,0.88,1.00,0.05
192,0.81,0.87,1.02,0.05
193,0.81,0.91,1.03,0.06
194,0.82,0.92,1.07,0.07
195,0.85,0.92,1.03,0.06
196,0.86,0.91,1.00,0.04
197,0.84,0.91,1.01,0.05
198,0.84,0.90,1.03,0.04
199,0.87,0.93,1.08,0.05
200,0.84,0.94,1.03,0.06
201,0.83,0.92,1.00,0.04
202,0.86,0.92,1.02,0.03
203,0.85,0.92,1.05,0.05
204,0.88,0.94,1.07,0.05
205,0.88,0.95,1.05,0.05
206,0.90,0.96,1.04,0.05
207,0.78,0.95,1.05,0.07
208,0.82,0.94,1.07,0.06
209,0.89,0.96,1.08,0.05
210,0.89,0.96,1.04,0.04
211,0.85,0.94,1.04,0.05
212,0.91,0.97,1.07,0.04
213,0.90,0.96,1.06,0.05
214,0.91,0.98,1.11,0.06
215,0.91,0.98,1.02,0.02
216,0.90,0.98,1.10,0.05
217,0.93,1.00,1.10,0.05
218,0.91,0.98,1.14,0.05
219,0.92,1.00,1.14,0.06
220,0.96,1.02,1.12,0.05
221,0.94,1.02,1.17,0.06
222,0.91,0.99,1.06,0.04
223,0.94,1.03,1.13,0.05
224,0.95,1.03,1.16,0.06
225,0.97,1.04,1.16,0.04
226,0.99,1.06,1.13,0.04
227,0.96,1.05,1.19,0.06
228,0.98,1.05,1.16,0.05
229,0.97,1.03,1.22,0.06
230,1.01,1.07,1.16,0.04
231,1.01,1.08,1.18,0.04
232,1.01,1.10,1.20,0.05
233,0.98,1.06,1.21,0.05
234,1.02,1.08,1.17,0.04
235,1.02,1.09,1.17,0.04
236,1.03,1.28,3.01,0.47
237,1.03,1.11,1.25,0.05
238,1.05,1.13,1.22,0.05
239,1.01,1.10,1.20,0.05
240,1.05,1.12,1.23,0.04
241,0.97,1.08,1.19,0.06
242,1.02,1.12,1.31,0.08
243,1.04,1.14,1.27,0.05
244,1.06,1.13,1.23,0.05
245,1.01,1.14,1.25,0.07
246,1.07,1.15,1.21,0.04
247,1.02,1.12,1.26,0.06
248,1.03,1.14,1.28,0.07
249,1.04,1.13,1.23,0.06
250,1.05,1.15,1.22,0.04
251,0.99,1.21,2.11,0.27
252,1.10,1.18,1.27,0.05
253,1.11,1.17,1.30,0.05
254,1.10,1.17,1.28,0.04
255,1.07,1.22,1.83,0.17
256,1.05,1.15,1.30,0.07
257,1.12,1.22,1.41,0.07
258,1.07,1.18,1.31,0.07
259,1.09,1.16,1.28,0.05
260,1.13,1.29,2.16,0.25
261,1.14,1.22,1.36,0.05
262,1.12,1.20,1.30,0.06
263,1.11,1.21,1.29,0.05
264,1.11,1.19,1.35,0.07
265,1.10,1.29,2.36,0.29
266,1.06,1.15,1.33,0.06
267,1.11,1.21,1.38,0.07
268,1.09,1.19,1.31,0.05
269,1.13,1.21,1.42,0.06
270,1.15,1.24,1.30,0.04
271,1.15,1.24,1.35,0.06
272,1.16,1.26,1.37,0.06
273,1.17,1.25,1.38,0.05
274,1.19,1.25,1.31,0.04
275,1.12,1.24,1.40,0.07
276,1.15,1.24,1.43,0.08
277,1.19,1.28,1.40,0.05
278,1.23,1.29,1.49,0.05
279,1.24,1.30,1.38,0.04
280,1.07,1.36,2.72,0.39
281,1.09,1.26,1.40,0.07
282,1.16,1.26,1.43,0.07
283,1.20,1.30,1.44,0.07
284,1.21,1.36,2.07,0.19
285,1.26,1.30,1.39,0.04
286,1.25,1.33,1.41,0.05
287,1.20,1.31,1.53,0.08
288,1.21,1.31,1.40,0.06
289,1.26,1.34,1.45,0.05
290,1.26,1.33,1.44,0.04
291,1.25,1.33,1.45,0.06
292,1.18,1.32,1.46,0.07
293,1.21,1.30,1.44,0.08
294,1.23,1.38,1.84,0.12
295,1.12,1.27,2.48,0.28
296,1.17,1.32,1.48,0.08
297,1.19,1.32,1.46,0.06
298,1.24,1.34,1.54,0.08
299,1.25,1.34,1.49,0.07
300,1.29,1.38,1.46,0.05
301,1.30,1.38,1.47,0.04
302,1.29,1.37,1.45,0.04
303,1.27,1.38,1.55,0.07
304,1.29,1.40,1.51,0.06
305,1.35,1.41,1.51,0.04
306,1.28,1.38,1.47,0.05
307,1.26,1.39,1.54,0.07
308,1.28,1.37,1.50,0.06
309,1.20,1.42,2.55,0.29
310,1.32,1.41,1.49,0.05
311,1.29,1.41,1.56,0.07
312,1.30,1.39,1.51,0.05
313,1.31,1.44,1.54,0.05
314,1.33,1.42,1.54,0.05
315,1.34,1.42,1.52,0.05
316,1.32,1.42,1.58,0.07
317,1.33,1.44,1.70,0.09
318,1.31,1.45,1.62,0.07
319,1.36,1.44,1.53,0.05
320,1.36,1.44,1.52,0.04
321,1.37,1.44,1.58,0.05
322,1.32,1.45,1.63,0.08
323,1.37,1.48,1.63,0.08
324,1.21,1.44,2.15,0.21
325,1.40,1.48,1.70,0.06
326,1.39,1.48,1.62,0.07
327,1.45,1.51,1.63,0.05
328,1.43,1.51,1.62,0.05
329,1.35,1.49,1.74,0.08
330,1.43,1.52,1.60,0.05
331,1.33,1.50,1.63,0.08
332,1.38,1.48,1.62,0.06
333,1.36,1.46,1.65,0.06
334,1.43,1.51,1.57,0.04
335,1.41,1.52,1.61,0.05
336,1.43,1.52,1.63,0.05
337,1.36,1.52,1.66,0.08
338,1.38,1.60,2.57,0.28
339,1.28,1.42,1.64,0.09
340,1.46,1.54,1.76,0.07
341,1.44,1.54,1.69,0.06
342,1.44,1.55,1.69,0.06
343,1.43,1.56,1.76,0.08
344,1.45,1.53,1.71,0.07
345,1.44,1.55,1.63,0.05
346,1.50,1.59,1.76,0.07
347,1.48,1.59,1.74,0.06
348,1.49,1.56,1.67,0.05
349,1.51,1.60,1.84,0.08
350,1.49,1.57,1.74,0.06
351,1.50,1.61,1.76,0.07
352,1.51,1.60,1.76,0.06
353,1.47,1.65,2.56,0.26
354,1.56,1.62,1.73,0.04
355,1.49,2.08,6.71,1.53
356,1.48,1.57,1.74,0.07
357,1.51,1.61,1.73,0.06
358,1.53,1.63,1.79,0.07
359,1.48,1.59,1.73,0.06
360,1.45,1.62,1.76,0.08
361,1.57,1.67,1.76,0.05
362,1.43,1.58,1.86,0.10
363,1.53,1.63,1.75,0.05
364,1.60,1.67,1.77,0.05
365,1.57,1.67,1.86,0.07
366,1.46,1.62,1.82,0.10
367,1.49,1.65,1.95,0.10
368,1.55,1.69,2.44,0.19
369,1.54,1.62,1.75,0.05
370,1.52,1.63,1.87,0.08
371,1.53,1.61,1.68,0.04
372,1.53,1.64,1.81,0.07
373,1.53,1.66,1.99,0.09
374,1.59,1.70,1.97,0.09
375,1.58,1.71,1.86,0.07
376,1.59,1.73,1.90,0.06
377,1.55,1.97,4.72,0.80
378,1.57,1.72,1.80,0.07
379,1.63,1.73,1.87,0.06
380,1.66,1.73,1.80,0.04
381,1.58,1.70,1.87,0.08
382,1.61,1.77,2.60,0.21
383,1.54,1.73,1.85,0.09
384,1.63,1.78,1.91,0.07
385,1.55,1.79,2.11,0.13
386,1.60,1.73,1.94,0.09
387,1.66,1.74,1.91,0.07
388,1.42,1.78,2.18,0.13
389,1.68,1.76,1.94,0.06
390,1.65,1.77,2.03,0.08
391,1.67,1.73,1.87,0.06
392,1.62,1.73,1.90,0.06
393,1.61,1.79,1.94,0.09
394,1.60,1.74,2.13,0.11
395,1.70,1.81,1.99,0.07
396,1.67,1.79,1.93,0.07
397,1.56,1.73,2.26,0.14
398,1.63,1.76,2.02,0.10
399,1.68,1.77,1.93,0.07
400,1.64,1.80,1.93,0.09
401,1.70,1.82,1.96,0.08
402,1.74,1.82,1.93,0.05
403,1.70,1.81,1.98,0.07
404,1.74,1.84,1.96,0.05
405,1.74,1.83,1.95,0.06
406,1.74,1.84,1.97,0.06
407,1.72,1.85,2.00,0.07
408,1.70,1.83,1.97,0.08
409,1.68,1.80,2.03,0.10
